date,supplier_id,supplier_name,region,product_category,lead_time_days,lead_time_std_days,reliability_score,geopolitical_risk_index,port_congestion_index,weather_risk_index,weather_risk_level,commodity_price_index,price_swing_pct,days_since_last_disruption,average_cost_per_unit,annual_volume_units,single_source,reliability_risk,lead_time_risk,lead_time_variability,geopolitical_risk,weather_risk,price_volatility,disruption_recency,composite_index,disrupted,target_disruption_7d,label_valid
2026-07-07,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,41.8,34.5,59.5,medium,98.72,6.27,2,247.18,50534,0,0.197,0.1,0.1222,0.3961,0.595,0.2508,0.9355,39.5997,0,0,True
2026-07-08,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.9,38.1,40.8,medium,97.99,6.28,3,247.18,50534,0,0.197,0.1,0.1222,0.3866,0.408,0.2512,0.9048,36.3248,0,0,True
2026-07-09,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,41.6,32.5,21.1,low,98.77,4.49,4,247.18,50534,0,0.197,0.1,0.1222,0.3887,0.211,0.1796,0.8752,32.2708,0,0,True
2026-07-10,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,39.1,25.2,36.3,low,98.48,4.49,5,247.18,50534,0,0.197,0.1,0.1222,0.3493,0.363,0.1796,0.8465,33.2305,0,1,True
2026-07-11,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.6,26.4,49.5,medium,97.48,3.76,6,247.18,50534,0,0.197,0.1,0.1222,0.3424,0.495,0.1504,0.8187,34.1599,0,1,True
2026-07-12,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,44.7,28.1,38.9,low,97.79,3.76,7,247.18,50534,0,0.197,0.1,0.1222,0.3972,0.389,0.1504,0.7919,33.2329,0,1,True
2026-07-13,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,39.4,25.5,58.5,medium,98.12,3.76,8,247.18,50534,0,0.197,0.1,0.1222,0.3523,0.585,0.1504,0.7659,34.7533,0,1,True
2026-07-14,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,28.3,31.3,64.8,medium,97.04,3.91,9,247.18,50534,0,0.197,0.1,0.1222,0.292,0.648,0.1564,0.7408,34.2201,0,1,True
2026-07-15,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.0,24.8,77.3,high,97.2,3.91,10,247.18,50534,0,0.197,0.1,0.1222,0.3404,0.773,0.1564,0.7165,36.4527,0,1,True
2026-07-16,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,50.7,24.2,94.7,high,97.72,3.91,11,247.18,50534,0,0.197,0.1,0.1222,0.4275,0.947,0.1564,0.693,40.0807,0,1,True
2026-07-17,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.5,22.7,95.8,high,97.98,3.91,12,247.18,50534,0,0.197,0.1,0.1222,0.4006,0.958,0.1564,0.6703,39.3869,1,1,True
2026-07-18,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.5,24.3,88.5,high,98.43,3.91,1,247.18,50534,0,0.197,0.1,0.1222,0.3354,0.885,0.1564,0.9672,41.9417,1,1,True
2026-07-19,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,36.7,27.4,78.2,high,97.44,3.91,1,247.18,50534,0,0.197,0.1,0.1222,0.3391,0.782,0.1564,0.9672,40.5663,0,1,True
2026-07-20,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,36.1,23.2,43.6,medium,97.67,3.91,2,247.18,50534,0,0.197,0.1,0.1222,0.3223,0.436,0.1564,0.9355,34.9125,0,1,True
2026-07-21,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,36.1,28.8,80.6,high,97.46,3.91,3,247.18,50534,0,0.197,0.1,0.1222,0.3391,0.806,0.1564,0.9048,39.9042,0,1,True
2026-07-22,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,31.7,30.1,72.1,high,97.12,3.91,4,247.18,50534,0,0.197,0.1,0.1222,0.3122,0.721,0.1564,0.8752,37.7554,0,1,True
2026-07-23,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,36.0,20.8,94.2,high,97.73,3.92,5,247.18,50534,0,0.197,0.1,0.1222,0.3144,0.942,0.1568,0.8465,40.4347,0,1,True
2026-07-24,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,39.4,12.6,100.0,high,98.77,3.21,6,247.18,50534,0,0.197,0.1,0.1222,0.3136,1.0,0.1284,0.8187,40.4475,1,0,True
2026-07-25,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.7,15.9,100.0,high,100.04,3.13,1,247.18,50534,0,0.197,0.1,0.1222,0.2766,1.0,0.1252,0.9672,42.1189,0,0,True
2026-07-26,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.4,17.6,97.2,high,100.96,3.98,2,247.18,50534,0,0.197,0.1,0.1222,0.3146,0.972,0.1592,0.9355,42.3115,0,0,True
2026-07-27,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.8,19.7,100.0,high,100.88,3.98,3,247.18,50534,0,0.197,0.1,0.1222,0.3937,1.0,0.1592,0.9048,43.6366,0,0,True
2026-07-28,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.8,21.8,64.0,medium,101.13,4.15,4,247.18,50534,0,0.197,0.1,0.1222,0.4,0.64,0.166,0.8752,38.317,0,0,True
2026-07-29,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,45.3,25.0,63.4,medium,101.67,4.69,5,247.18,50534,0,0.197,0.1,0.1222,0.3921,0.634,0.1876,0.8465,37.8909,0,0,True
2026-07-30,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,44.1,31.5,70.4,high,101.76,4.78,6,247.18,50534,0,0.197,0.1,0.1222,0.4032,0.704,0.1912,0.8187,38.6699,0,0,True
2026-07-31,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,46.7,26.2,69.9,high,101.85,4.87,7,247.18,50534,0,0.197,0.1,0.1222,0.4055,0.699,0.1948,0.7919,38.2551,0,0,True
2026-08-01,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.8,21.3,70.5,high,102.43,5.45,8,247.18,50534,0,0.197,0.1,0.1222,0.3285,0.705,0.218,0.7659,36.8161,0,0,True
2026-08-02,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,39.2,17.6,70.0,high,102.39,5.44,9,247.18,50534,0,0.197,0.1,0.1222,0.3272,0.7,0.2176,0.7408,36.3161,0,0,True
2026-08-03,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.8,21.7,66.9,high,101.87,5.43,10,247.18,50534,0,0.197,0.1,0.1222,0.3297,0.669,0.2172,0.7165,35.5337,0,0,True
2026-08-04,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.2,30.3,44.9,medium,101.58,5.43,11,247.18,50534,0,0.197,0.1,0.1222,0.4213,0.449,0.2172,0.693,33.7267,0,0,True
2026-08-05,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,45.6,28.7,45.7,medium,102.03,5.43,12,247.18,50534,0,0.197,0.1,0.1222,0.4053,0.457,0.2172,0.6703,33.1871,0,0,True
2026-08-06,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,52.9,16.5,40.4,medium,102.03,5.42,13,247.18,50534,0,0.197,0.1,0.1222,0.4198,0.404,0.2168,0.6483,32.3497,0,0,True
2026-08-07,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,46.1,10.3,29.7,low,102.27,5.41,14,247.18,50534,0,0.197,0.1,0.1222,0.3536,0.297,0.2164,0.6271,29.3152,0,0,True
2026-08-08,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,48.2,9.6,49.1,medium,102.74,5.72,15,247.18,50534,0,0.197,0.1,0.1222,0.3662,0.491,0.2288,0.6065,32.0779,0,0,True
2026-08-09,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,48.8,10.5,64.1,medium,102.48,5.71,16,247.18,50534,0,0.197,0.1,0.1222,0.3731,0.641,0.2284,0.5866,33.9792,0,0,True
2026-08-10,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,43.7,12.0,71.9,high,103.01,5.97,17,247.18,50534,0,0.197,0.1,0.1222,0.3419,0.719,0.2388,0.5674,34.3266,0,0,True
2026-08-11,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,44.3,15.7,67.5,high,103.28,6.23,18,247.18,50534,0,0.197,0.1,0.1222,0.3572,0.675,0.2492,0.5488,33.8132,0,0,True
2026-08-12,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,49.7,16.9,74.4,high,102.41,6.22,19,247.18,50534,0,0.197,0.1,0.1222,0.3986,0.744,0.2488,0.5308,35.2317,0,0,True
2026-08-13,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.0,25.2,67.2,high,103.42,6.26,20,247.18,50534,0,0.197,0.1,0.1222,0.4046,0.672,0.2504,0.5134,34.0725,0,0,True
2026-08-14,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.2,23.1,63.5,medium,103.07,6.25,21,247.18,50534,0,0.197,0.1,0.1222,0.3367,0.635,0.25,0.4966,32.0582,0,0,True
2026-08-15,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,38.7,20.3,48.8,medium,101.91,6.24,22,247.18,50534,0,0.197,0.1,0.1222,0.3318,0.488,0.2496,0.4803,29.6467,0,0,True
2026-08-16,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,34.9,25.0,51.5,medium,101.17,6.24,23,247.18,50534,0,0.197,0.1,0.1222,0.3193,0.515,0.2496,0.4646,29.5478,0,0,True
2026-08-17,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,34.4,18.4,50.4,medium,100.45,6.23,24,247.18,50534,0,0.197,0.1,0.1222,0.296,0.504,0.2492,0.4493,28.7259,0,0,True
2026-08-18,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,35.1,23.0,37.0,low,100.49,6.23,25,247.18,50534,0,0.197,0.1,0.1222,0.3147,0.37,0.2492,0.4346,26.9508,0,0,True
2026-08-19,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,28.1,25.3,38.5,low,100.3,6.22,26,247.18,50534,0,0.197,0.1,0.1222,0.2726,0.385,0.2488,0.4204,26.1702,0,0,True
2026-08-20,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,22.5,26.0,39.4,low,100.06,6.21,27,247.18,50534,0,0.197,0.1,0.1222,0.2355,0.394,0.2484,0.4066,25.4031,0,0,True
2026-08-21,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,27.7,35.7,57.5,medium,100.49,5.61,28,247.18,50534,0,0.197,0.1,0.1222,0.301,0.575,0.2244,0.3932,28.6149,0,0,True
2026-08-22,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,27.4,32.3,62.6,medium,100.73,4.58,29,247.18,50534,0,0.197,0.1,0.1222,0.2887,0.626,0.1832,0.3803,28.4068,0,0,True
2026-08-23,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,17.4,43.6,58.3,medium,100.96,3.32,30,247.18,50534,0,0.197,0.1,0.1222,0.2526,0.583,0.1328,0.3679,26.3507,0,0,True
2026-08-24,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,24.8,41.1,57.3,medium,101.24,3.3,31,247.18,50534,0,0.197,0.1,0.1222,0.2969,0.573,0.132,0.3558,26.8055,0,0,True
2026-08-25,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,28.7,33.5,54.6,medium,101.68,3.3,32,247.18,50534,0,0.197,0.1,0.1222,0.3014,0.546,0.132,0.3442,26.3219,0,0,True
2026-08-26,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,27.3,34.1,50.3,medium,100.19,3.3,33,247.18,50534,0,0.197,0.1,0.1222,0.2934,0.503,0.132,0.3329,25.3954,0,0,True
2026-08-27,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,23.3,28.5,39.0,low,99.94,3.42,34,247.18,50534,0,0.197,0.1,0.1222,0.2486,0.39,0.1368,0.322,22.89,0,0,True
2026-08-28,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,30.0,25.5,39.1,low,98.4,4.94,35,247.18,50534,0,0.197,0.1,0.1222,0.2865,0.391,0.1976,0.3114,24.1469,0,0,True
2026-08-29,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,33.5,29.1,33.7,low,98.43,4.95,36,247.18,50534,0,0.197,0.1,0.1222,0.3218,0.337,0.198,0.3012,23.8677,0,0,True
2026-08-30,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,46.1,32.9,24.9,low,98.43,4.95,37,247.18,50534,0,0.197,0.1,0.1222,0.4214,0.249,0.198,0.2913,24.2705,0,0,True
2026-08-31,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.4,29.9,34.7,low,99.16,4.96,38,247.18,50534,0,0.197,0.1,0.1222,0.4215,0.347,0.1984,0.2818,25.4963,0,0,True
2026-09-01,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,48.5,35.9,40.9,medium,100.0,4.96,39,247.18,50534,0,0.197,0.1,0.1222,0.4472,0.409,0.1984,0.2725,26.6791,0,0,True
2026-09-02,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,46.7,41.8,25.4,low,100.14,4.97,40,247.18,50534,0,0.197,0.1,0.1222,0.4523,0.254,0.1988,0.2636,24.4628,0,0,True
2026-09-03,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,49.9,48.4,29.1,low,99.79,4.97,41,247.18,50534,0,0.197,0.1,0.1222,0.4945,0.291,0.1988,0.255,25.6021,0,0,True
2026-09-04,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,51.7,49.2,42.3,medium,100.13,4.97,42,247.18,50534,0,0.197,0.1,0.1222,0.5095,0.423,0.1988,0.2466,27.5864,0,0,True
2026-09-05,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,56.1,54.2,52.8,medium,99.76,4.98,43,247.18,50534,0,0.197,0.1,0.1222,0.5553,0.528,0.1992,0.2385,29.7562,0,0,True
2026-09-06,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,51.5,41.4,60.3,medium,99.76,4.98,44,247.18,50534,0,0.197,0.1,0.1222,0.4847,0.603,0.1992,0.2307,29.4103,0,0,True
2026-09-07,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,48.1,38.8,56.9,medium,100.45,4.98,45,247.18,50534,0,0.197,0.1,0.1222,0.4531,0.569,0.1992,0.2231,28.2445,0,0,True
2026-09-08,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,44.9,33.7,46.1,medium,100.06,4.99,46,247.18,50534,0,0.197,0.1,0.1222,0.4154,0.461,0.1996,0.2158,25.9417,0,0,True
2026-09-09,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,48.2,34.5,35.8,low,100.63,4.99,47,247.18,50534,0,0.197,0.1,0.1222,0.4409,0.358,0.1996,0.2087,24.8455,0,0,True
2026-09-10,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,54.4,31.6,41.3,medium,101.1,5.0,48,247.18,50534,0,0.197,0.1,0.1222,0.4756,0.413,0.2,0.2019,26.1354,0,0,True
2026-09-11,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,50.3,31.2,45.7,medium,100.43,5.0,49,247.18,50534,0,0.197,0.1,0.1222,0.4457,0.457,0.2,0.1953,26.1073,0,0,True
2026-09-12,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.1,41.7,57.5,medium,101.12,4.65,50,247.18,50534,0,0.197,0.1,0.1222,0.4548,0.575,0.186,0.1889,27.6526,0,0,True
2026-09-13,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,47.8,39.8,64.5,medium,101.61,3.5,51,247.18,50534,0,0.197,0.1,0.1222,0.454,0.645,0.14,0.1827,27.9672,0,0,True
2026-09-14,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,45.8,41.2,58.4,medium,101.68,3.27,52,247.18,50534,0,0.197,0.1,0.1222,0.4442,0.584,0.1308,0.1767,26.7305,0,0,True
2026-09-15,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,49.7,39.1,43.5,medium,101.14,3.27,53,247.18,50534,0,0.197,0.1,0.1222,0.4652,0.435,0.1308,0.1709,24.9298,0,0,True
2026-09-16,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,37.9,38.9,41.0,medium,100.54,3.27,54,247.18,50534,0,0.197,0.1,0.1222,0.382,0.41,0.1308,0.1653,22.9926,0,0,True
2026-09-17,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,34.6,38.3,44.0,medium,100.16,3.27,55,247.18,50534,0,0.197,0.1,0.1222,0.3571,0.44,0.1308,0.1599,22.8777,0,0,False
2026-09-18,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,32.0,40.2,42.4,medium,100.54,3.27,56,247.18,50534,0,0.197,0.1,0.1222,0.3446,0.424,0.1308,0.1546,22.3448,0,0,False
2026-09-19,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,22.5,45.5,37.7,low,99.87,3.27,57,247.18,50534,0,0.197,0.1,0.1222,0.294,0.377,0.1308,0.1496,20.6949,0,0,False
2026-09-20,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,20.8,52.6,41.8,medium,100.18,3.27,58,247.18,50534,0,0.197,0.1,0.1222,0.3034,0.418,0.1308,0.1447,21.3597,0,0,False
2026-09-21,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,19.7,51.6,38.0,low,99.3,3.27,59,247.18,50534,0,0.197,0.1,0.1222,0.2927,0.38,0.1308,0.1399,20.5592,0,0,False
2026-09-22,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,22.1,52.2,33.9,low,99.16,3.27,60,247.18,50534,0,0.197,0.1,0.1222,0.3113,0.339,0.1308,0.1353,20.2466,0,0,False
2026-09-23,SUP_001,TechParts Asia,East Asia,Electronics,18,1.1,0.803,30.3,43.6,39.6,low,99.24,3.28,61,247.18,50534,0,0.197,0.1,0.1222,0.3429,0.396,0.1312,0.1309,21.5472,0,0,False
2026-06-01,SUP_002,QuickShip Ltd,South Asia,Packaging,39,15.0,0.898,70.0,41.7,52.2,medium,99.91,0.0,999,29.27,7317,0,0.102,0.3625,0.7692,0.6151,0.522,0.0,0.0,31.7371,0,0,True
