day,gprd,ma7,ma30,event
2023-12-15,169.3,151.8,144.7,
2023-12-16,104.3,151.5,142.4,
2023-12-17,90.9,146.7,140.5,
2023-12-18,144.0,145.3,141.6,
2023-12-19,187.8,148.2,144.4,
2023-12-20,138.0,140.4,142.2,
2023-12-21,114.0,135.5,142.8,
2023-12-22,89.4,124.1,139.4,
2023-12-23,150.3,130.6,138.6,
2023-12-24,52.9,125.2,135.2,
2023-12-25,136.4,124.1,135.6,
2023-12-26,139.6,117.2,137.3,
2023-12-27,180.2,123.2,137.8,
2023-12-28,122.7,124.5,135.7,
2023-12-29,221.3,143.3,140.2,
2023-12-30,191.0,149.2,140.6,
2023-12-31,110.1,157.3,141.1,
2024-01-01,157.7,160.4,142.2,
2024-01-02,131.1,159.2,142.9,
2024-01-03,142.9,153.8,141.2,
2024-01-04,180.7,162.1,144.2,
2024-01-05,167.5,154.4,145.4,
2024-01-06,131.2,145.9,143.3,
2024-01-07,89.0,142.9,141.2,
2024-01-08,106.6,135.6,141.2,
2024-01-09,241.3,151.3,145.1,
2024-01-10,118.1,147.8,143.9,
2024-01-11,165.3,145.6,143.8,
2024-01-12,210.6,151.7,144.4,
2024-01-13,160.0,155.8,144.8,
2024-01-14,107.4,158.5,142.8,
2024-01-15,106.4,158.4,142.8,
2024-01-16,193.4,151.6,146.2,
2024-01-17,176.2,159.9,147.3,
2024-01-18,167.5,160.2,146.6,
2024-01-19,207.4,159.8,148.9,
2024-01-20,83.9,148.9,147.9,
2024-01-21,70.1,143.6,147.3,
2024-01-22,186.6,155.0,148.5,
2024-01-23,169.1,151.5,152.4,
2024-01-24,159.1,149.1,153.1,
2024-01-25,202.3,154.1,155.2,
2024-01-26,141.3,144.6,153.9,
2024-01-27,174.1,157.5,155.6,
2024-01-28,152.7,169.3,153.4,
2024-01-29,140.5,162.7,151.7,
2024-01-30,206.3,168.1,154.9,
2024-01-31,205.6,174.7,156.5,
2024-02-01,147.8,166.9,157.0,
2024-02-02,171.5,171.2,158.0,
2024-02-03,96.8,160.2,155.2,
2024-02-04,85.7,150.6,152.5,
2024-02-05,125.9,148.5,152.3,
2024-02-06,118.8,136.0,153.3,
2024-02-07,100.4,121.0,153.1,
2024-02-08,116.2,116.5,148.9,
2024-02-09,194.5,119.8,151.4,
2024-02-10,98.5,120.0,149.2,
2024-02-11,86.3,120.1,145.1,
2024-02-12,156.7,124.5,145.0,
2024-02-13,187.9,134.4,147.6,
2024-02-14,135.8,139.4,148.6,
2024-02-15,214.8,153.5,149.3,
2024-02-16,160.9,148.7,148.8,
2024-02-17,87.0,147.1,146.2,
2024-02-18,78.7,146.0,141.9,
2024-02-19,167.8,147.6,144.7,
2024-02-20,170.2,145.0,148.0,
2024-02-21,193.8,153.3,148.2,
2024-02-22,219.6,154.0,149.9,
2024-02-23,167.1,154.9,150.2,
2024-02-24,111.5,158.4,147.2,
2024-02-25,87.2,159.6,145.4,
2024-02-26,201.0,164.3,146.2,
2024-02-27,166.9,163.8,146.7,
2024-02-28,177.5,161.5,148.0,
2024-02-29,153.2,152.0,146.2,
2024-03-01,155.2,150.3,144.5,
2024-03-02,82.8,146.2,142.3,
2024-03-03,80.4,145.3,139.3,
2024-03-04,170.8,141.0,141.8,
2024-03-05,83.5,129.0,141.7,
2024-03-06,108.0,119.1,141.1,
2024-03-07,122.2,114.7,141.2,
2024-03-08,178.2,118.0,143.8,
2024-03-09,90.0,119.0,142.9,
2024-03-10,98.2,121.5,139.7,
2024-03-11,155.8,119.4,141.6,
2024-03-12,199.6,136.0,145.4,
2024-03-13,150.0,142.0,145.2,
2024-03-14,187.5,151.3,145.2,
2024-03-15,138.0,145.6,145.2,
2024-03-16,126.6,150.8,142.3,
2024-03-17,69.2,146.7,139.2,
2024-03-18,147.6,145.5,141.3,
2024-03-19,183.3,143.2,144.8,
2024-03-20,116.0,138.3,143.0,
2024-03-21,130.5,130.2,141.7,
2024-03-22,125.0,128.3,139.4,
2024-03-23,107.0,125.5,135.6,
2024-03-24,66.4,125.1,132.3,
2024-03-25,188.0,130.9,134.8,
2024-03-26,166.0,128.4,137.5,
2024-03-27,121.0,129.1,134.8,
2024-03-28,99.6,124.7,132.6,
2024-03-29,126.2,124.9,130.9,
2024-03-30,161.6,132.7,131.1,
2024-03-31,120.0,140.3,130.0,
2024-04-01,123.2,131.1,131.3,
2024-04-02,198.0,135.6,135.2,
2024-04-03,181.9,144.3,135.6,
2024-04-04,161.0,153.1,138.2,
2024-04-05,142.0,155.4,139.3,
2024-04-06,130.3,150.9,139.6,
2024-04-07,69.7,143.7,136.0,
2024-04-08,126.3,144.2,137.2,
2024-04-09,171.8,140.4,139.6,
2024-04-10,203.3,143.5,141.2,
2024-04-11,123.3,138.1,138.7,
2024-04-12,161.3,140.9,139.1,
2024-04-13,130.3,140.9,137.2,
2024-04-14,137.6,150.6,137.1,
2024-04-15,230.8,165.5,140.6,
2024-04-16,340.5,189.6,149.7,
2024-04-17,227.5,193.1,152.3,
2024-04-18,149.4,196.8,151.2,
2024-04-19,207.8,203.4,154.2,
2024-04-20,134.4,204.0,154.4,
2024-04-21,70.5,194.4,152.6,
2024-04-22,162.9,184.7,154.4,
2024-04-23,148.6,157.3,157.2,
2024-04-24,139.2,144.7,155.5,
2024-04-25,173.0,148.1,155.8,
2024-04-26,140.0,138.4,156.4,
2024-04-27,154.8,141.3,158.2,
2024-04-28,108.5,146.7,157.6,
2024-04-29,193.2,151.0,158.7,
2024-04-30,168.8,153.9,160.3,
2024-05-01,131.8,152.9,160.6,
2024-05-02,132.3,147.0,158.4,
2024-05-03,110.2,142.8,156.0,
2024-05-04,86.5,133.0,153.6,
2024-05-05,68.8,127.4,151.1,
2024-05-06,72.0,110.0,149.2,
2024-05-07,171.1,110.4,152.6,
2024-05-08,152.4,113.3,153.4,
2024-05-09,146.0,115.3,152.6,
2024-05-10,180.3,125.3,151.8,
2024-05-11,105.8,128.1,151.2,
2024-05-12,54.0,126.0,147.6,
2024-05-13,177.1,141.0,149.2,
2024-05-14,154.7,138.6,149.8,
2024-05-15,129.0,135.3,146.4,
2024-05-16,125.9,132.4,139.2,
2024-05-17,181.7,132.6,137.7,
2024-05-18,111.1,133.4,136.4,
2024-05-19,94.9,139.2,132.6,
2024-05-20,134.8,133.2,132.7,
2024-05-21,165.6,134.7,135.8,
2024-05-22,135.2,135.6,134.9,
2024-05-23,102.2,132.2,133.4,
2024-05-24,117.3,123.0,132.6,
2024-05-25,91.7,120.2,129.9,
2024-05-26,121.0,124.0,129.3,
2024-05-27,146.1,125.6,129.0,
2024-05-28,144.0,122.5,130.2,
2024-05-29,136.1,122.6,128.3,
2024-05-30,93.8,121.4,125.8,
2024-05-31,156.8,127.1,126.6,
2024-06-01,121.2,131.3,126.2,
2024-06-02,81.0,125.6,125.3,
2024-06-03,111.6,120.6,126.1,
2024-06-04,104.3,115.0,127.3,
2024-06-05,114.0,111.8,128.7,
2024-06-06,110.6,114.2,126.7,
2024-06-07,122.9,109.4,125.7,
2024-06-08,66.6,101.6,123.0,
2024-06-09,84.5,102.1,119.8,
2024-06-10,108.0,101.6,119.9,
2024-06-11,122.0,104.1,122.2,
2024-06-12,118.3,104.7,120.2,
2024-06-13,134.2,108.1,119.6,
2024-06-14,90.6,103.4,118.3,
2024-06-15,105.0,108.9,117.6,
2024-06-16,103.2,111.6,115.0,
2024-06-17,121.0,113.5,115.3,
2024-06-18,144.0,116.6,116.9,
2024-06-19,115.1,116.2,116.3,
2024-06-20,177.0,122.3,116.6,
2024-06-21,128.8,127.7,116.4,
2024-06-22,65.1,122.0,115.2,
2024-06-23,85.6,119.5,114.1,
2024-06-24,212.6,132.6,118.2,
2024-06-25,110.4,127.8,117.8,
2024-06-26,129.3,129.8,117.2,
2024-06-27,121.1,121.8,116.5,
2024-06-28,121.7,120.8,116.0,
2024-06-29,42.7,117.6,114.3,
2024-06-30,47.2,112.2,110.6,
2024-07-01,72.2,92.1,109.0,
2024-07-02,80.0,87.7,109.0,
2024-07-03,109.2,84.9,108.9,
2024-07-04,90.5,80.5,108.4,
2024-07-05,73.7,73.6,107.1,
2024-07-06,87.8,80.1,106.3,
2024-07-07,96.3,87.1,105.4,
2024-07-08,89.9,89.6,106.2,
2024-07-09,90.4,91.1,106.4,
2024-07-10,125.3,93.4,107.0,
2024-07-11,122.0,97.9,107.0,
2024-07-12,81.2,99.0,105.8,
2024-07-13,31.8,91.0,102.4,
2024-07-14,45.0,83.7,100.8,
2024-07-15,67.9,80.5,99.6,
2024-07-16,68.6,77.4,98.4,
2024-07-17,105.8,74.6,97.9,
2024-07-18,134.3,76.4,97.6,
2024-07-19,138.0,84.5,98.4,
2024-07-20,85.5,92.2,95.3,
2024-07-21,92.3,98.9,94.1,
2024-07-22,129.2,107.7,96.2,
2024-07-23,47.6,104.7,95.0,
2024-07-24,80.3,101.0,90.6,
2024-07-25,119.9,99.0,90.9,
2024-07-26,105.6,94.3,90.1,
2024-07-27,109.9,97.8,89.7,
2024-07-28,123.7,102.3,89.8,
2024-07-29,138.0,103.6,93.0,
2024-07-30,95.7,110.4,94.6,
2024-07-31,135.2,118.3,96.7,
2024-08-01,139.9,121.2,98.7,
2024-08-02,207.8,135.7,102.0,
2024-08-03,107.3,135.4,102.5,
2024-08-04,84.7,129.8,102.9,
2024-08-05,210.2,140.1,107.0,
2024-08-06,156.1,148.8,109.0,
2024-08-07,196.8,157.6,112.5,
2024-08-08,163.6,160.9,115.0,
2024-08-09,159.5,154.0,116.1,
2024-08-10,147.1,159.7,117.0,
2024-08-11,70.5,157.7,116.6,
2024-08-12,115.0,144.1,119.4,
2024-08-13,177.0,147.1,123.8,
2024-08-14,193.5,146.6,128.0,
2024-08-15,139.5,143.2,130.3,
2024-08-16,134.8,139.6,131.3,
2024-08-17,148.2,139.8,131.8,
2024-08-18,61.7,138.5,129.2,
2024-08-19,107.2,137.4,129.9,
