supplier_id,supplier_name,country,region,on_time_rate,certification,preferred,po_count,po_on_time,po_mean_delay_days
SUP00059,Vertex Beta GmbH,India,North,0.62,ISO 14001,0,26,0.5,2.54
SUP00060,Ultra Delta LLC,UK,North,0.88,,1,21,0.476,3.18
SUP00061,Vertex Delta LLC,India,South,0.96,ISO 45001,0,24,0.375,3.73
SUP00062,Omega Nano Corp,Brazil,Central,0.67,ISO 14001,0,14,0.286,3.4
SUP00063,Nano Fusion GmbH,Denmark,North,0.82,ISO 9001,0,25,0.52,3.67
SUP00064,Gamma Nova LLC,Brazil,North,0.96,ISO 14001,1,18,0.111,3.62
SUP00065,Quantum Nano Inc,Brazil,East,0.61,ISO 9001,1,20,0.25,3.8
SUP00066,Alpha Beta LLC,India,West,0.87,ISO 45001,0,21,0.619,3.88
SUP00067,Alpha Beta Ltd,UK,South,0.72,,1,21,0.476,3.91
SUP00068,Prime Prime Inc,UK,South,0.96,,1,21,0.476,2.91
SUP00069,Ultra Delta Ltd,China,Central,0.98,ISO 45001,0,18,0.5,3.44
SUP00070,Pioneer Apex Corp,USA,Central,0.97,,0,26,0.269,3.63
SUP00071,Gamma Vertex Corp,Denmark,South,0.78,,1,20,0.25,2.47
SUP00072,Beta Apex Corp,India,Central,0.94,ISO 9001,0,15,0.467,4.0
SUP00073,Omega Beta Corp,China,East,0.93,ISO 45001,1,21,0.381,3.54
SUP00074,Apex Pioneer Ltd,Canada,South,0.72,ISO 14001,1,20,0.45,4.27
SUP00075,Alpha Ultra Corp,USA,Central,0.92,ISO 9001,1,39,0.385,3.42
SUP00076,Eco Eco Ltd,USA,South,0.61,ISO 45001,1,16,0.438,4.44
SUP00077,Ultra Apex Inc,India,West,0.83,ISO 9001,0,21,0.19,4.29
SUP00078,Eco Beta Inc,Germany,North,0.69,ISO 14001,0,16,0.312,2.91
SUP00079,Delta Prime Inc,Denmark,South,0.65,ISO 14001,0,14,0.571,4.33
SUP00080,Gamma Nova Ltd,USA,North,0.63,ISO 45001,0,29,0.448,3.75
SUP00081,Fusion Apex LLC,India,Central,0.87,ISO 14001,1,14,0.143,3.42
SUP00082,Alpha Alpha Corp,India,North,0.73,ISO 9001,1,24,0.333,3.0
SUP00083,Vertex Beta LLC,China,South,0.88,ISO 14001,0,21,0.571,2.67
SUP00084,Eco Gamma LLC,Canada,West,0.63,ISO 9001,1,20,0.55,3.56
SUP00085,Beta Delta LLC,Germany,Central,0.72,ISO 9001,1,23,0.391,3.29
SUP00086,Beta Eco Inc,Denmark,South,0.81,ISO 14001,1,19,0.368,4.5
SUP00087,Beta Nano Corp,UK,Central,0.91,ISO 45001,0,22,0.455,3.83
SUP00088,Pioneer Omega Ltd,Brazil,East,0.72,,0,20,0.1,3.61
SUP00089,Ultra Quantum Ltd,Canada,North,0.84,ISO 14001,0,16,0.5,4.0
SUP00090,Apex Apex Ltd,Canada,East,0.95,ISO 9001,1,24,0.333,4.0
SUP00091,Beta Fusion GmbH,China,South,0.84,ISO 9001,0,15,0.467,4.38
SUP00092,Alpha Nova Ltd,UK,West,0.69,ISO 14001,0,27,0.444,3.8
SUP00093,Prime Nano Ltd,USA,Central,0.61,ISO 45001,0,20,0.35,3.77
SUP00094,Apex Eco Ltd,USA,North,0.94,ISO 45001,0,13,0.154,3.73
SUP00095,Pioneer Ultra GmbH,China,Central,0.61,ISO 9001,0,23,0.348,3.4
SUP00096,Apex Prime Ltd,India,South,0.94,ISO 9001,0,18,0.611,2.71
SUP00097,Beta Pioneer Inc,USA,Central,0.81,ISO 45001,1,18,0.333,4.17
SUP00098,Gamma Quantum Inc,Germany,North,0.97,,1,25,0.48,3.15
SUP00099,Nova Eco LLC,Denmark,South,0.91,ISO 14001,0,22,0.545,4.0
SUP00100,Nano Ultra Corp,Canada,Central,0.99,ISO 9001,0,21,0.238,3.06
