disruption_id,date,supplier_id,disruption_reason,duration_days,recovery_cost_usd
DIS_037,2026-07-06,SUP_011,Raw material shortage,2,6627.0
DIS_038,2026-07-14,SUP_011,Geopolitical / customs hold,11,43570.0
DIS_039,2026-08-02,SUP_011,Quality rejection,15,51910.0
DIS_040,2026-08-10,SUP_011,Raw material shortage,11,35312.0
DIS_041,2026-06-27,SUP_012,Port congestion,15,221948.0
DIS_042,2026-06-30,SUP_012,Geopolitical / customs hold,11,145148.0
DIS_043,2026-07-04,SUP_012,Raw material shortage,11,273142.0
DIS_044,2026-07-12,SUP_012,Severe weather,16,236149.0
DIS_045,2026-07-26,SUP_012,Severe weather,11,303162.0
DIS_046,2026-07-30,SUP_012,Raw material shortage,8,246363.0
DIS_047,2026-08-24,SUP_012,Port congestion,14,301645.0
DIS_048,2026-06-13,SUP_013,Port congestion,2,18444.0
DIS_049,2026-06-25,SUP_013,Port congestion,14,130825.0
DIS_050,2026-07-30,SUP_013,Severe weather,17,143453.0
DIS_051,2026-08-06,SUP_014,Supplier capacity shortfall,3,58162.0
DIS_052,2026-07-17,SUP_015,Geopolitical / customs hold,11,1806530.0
DIS_053,2026-07-21,SUP_015,Supplier capacity shortfall,12,2461956.0
DIS_054,2026-07-22,SUP_015,Supplier capacity shortfall,16,3193281.0
DIS_055,2026-07-25,SUP_015,Geopolitical / customs hold,8,1428978.0
DIS_056,2026-08-05,SUP_015,Severe weather,16,2761915.0
DIS_057,2026-08-06,SUP_015,Port congestion,9,1567699.0
DIS_058,2026-08-09,SUP_015,Supplier capacity shortfall,17,2568651.0
DIS_059,2026-08-05,SUP_016,Severe weather,8,447794.0
DIS_060,2026-09-01,SUP_016,Port congestion,17,522340.0
DIS_061,2026-07-18,SUP_017,Severe weather,16,126850.0
DIS_062,2026-08-04,SUP_017,Quality rejection,6,64810.0
DIS_063,2026-09-05,SUP_017,Geopolitical / customs hold,6,47293.0
DIS_064,2026-09-10,SUP_017,Geopolitical / customs hold,5,35950.0
DIS_065,2026-06-13,SUP_018,Severe weather,14,113464.0
DIS_066,2026-06-26,SUP_018,Labour strike,6,30438.0
DIS_067,2026-07-03,SUP_018,Severe weather,12,58665.0
DIS_068,2026-07-20,SUP_018,Supplier capacity shortfall,8,40278.0
DIS_069,2026-07-21,SUP_018,Labour strike,9,33715.0
DIS_070,2026-07-25,SUP_018,Severe weather,2,15827.0
DIS_071,2026-07-30,SUP_018,Supplier capacity shortfall,9,76241.0
DIS_072,2026-08-03,SUP_018,Port congestion,6,39917.0
DIS_073,2026-08-15,SUP_018,Port congestion,13,55641.0
DIS_074,2026-08-23,SUP_018,Port congestion,3,21619.0
DIS_075,2026-08-27,SUP_018,Raw material shortage,15,140709.0
DIS_076,2026-08-29,SUP_018,Severe weather,2,10180.0
DIS_077,2026-09-08,SUP_018,Severe weather,11,92462.0
DIS_078,2026-09-13,SUP_018,Port congestion,12,113711.0
DIS_079,2026-09-17,SUP_018,Supplier capacity shortfall,5,42946.0
DIS_080,2026-09-20,SUP_018,Raw material shortage,12,97040.0
DIS_081,2026-06-12,SUP_019,Port congestion,11,3728079.0
DIS_082,2026-07-24,SUP_019,Geopolitical / customs hold,11,1687394.0
DIS_083,2026-08-07,SUP_019,Severe weather,6,1490381.0
DIS_084,2026-08-10,SUP_019,Geopolitical / customs hold,16,5397917.0
DIS_085,2026-08-13,SUP_019,Quality rejection,5,1017622.0
DIS_086,2026-08-16,SUP_019,Supplier capacity shortfall,14,5179223.0
DIS_087,2026-08-24,SUP_019,Severe weather,14,2459495.0
DIS_088,2026-09-07,SUP_019,Geopolitical / customs hold,10,2097614.0
DIS_089,2026-09-15,SUP_019,Geopolitical / customs hold,16,2739651.0
DIS_090,2026-08-25,SUP_020,Severe weather,4,707111.0
DIS_091,2026-08-30,SUP_020,Severe weather,3,1029418.0
DIS_092,2026-09-02,SUP_020,Severe weather,6,1450240.0
DIS_093,2026-07-12,SUP_021,Raw material shortage,13,256765.0
DIS_094,2026-08-06,SUP_021,Geopolitical / customs hold,6,87570.0
DIS_095,2026-08-17,SUP_021,Port congestion,2,23375.0
DIS_096,2026-07-17,SUP_022,Supplier capacity shortfall,9,20342.0
DIS_097,2026-07-18,SUP_022,Geopolitical / customs hold,6,14664.0
DIS_098,2026-08-10,SUP_022,Labour strike,17,53494.0
DIS_099,2026-09-01,SUP_022,Quality rejection,8,15517.0
DIS_100,2026-09-16,SUP_022,Geopolitical / customs hold,13,23430.0
DIS_101,2026-09-17,SUP_022,Geopolitical / customs hold,2,6535.0
DIS_102,2026-07-30,SUP_023,Supplier capacity shortfall,4,1177181.0
DIS_103,2026-07-30,SUP_025,Port congestion,9,531973.0
DIS_104,2026-08-08,SUP_025,Geopolitical / customs hold,14,1627614.0
DIS_105,2026-07-24,SUP_026,Raw material shortage,13,334636.0
DIS_106,2026-07-25,SUP_026,Geopolitical / customs hold,15,189140.0
DIS_107,2026-08-13,SUP_026,Geopolitical / customs hold,17,220660.0
DIS_108,2026-09-23,SUP_026,Severe weather,12,135704.0
DIS_109,2026-06-14,SUP_027,Supplier capacity shortfall,7,37594.0
DIS_110,2026-06-21,SUP_027,Port congestion,6,76745.0
DIS_111,2026-07-09,SUP_027,Port congestion,5,29360.0
DIS_112,2026-08-22,SUP_027,Port congestion,6,44663.0
DIS_113,2026-09-01,SUP_027,Severe weather,9,117931.0
DIS_114,2026-09-04,SUP_027,Quality rejection,13,161095.0
DIS_115,2026-09-07,SUP_027,Severe weather,3,34478.0
DIS_116,2026-09-09,SUP_027,Raw material shortage,2,24853.0
DIS_117,2026-06-04,SUP_028,Raw material shortage,6,136989.0
DIS_118,2026-07-12,SUP_028,Geopolitical / customs hold,17,520257.0
DIS_119,2026-07-22,SUP_028,Severe weather,11,238428.0
DIS_120,2026-07-12,SUP_029,Geopolitical / customs hold,4,269332.0
DIS_121,2026-06-11,SUP_030,Geopolitical / customs hold,12,198437.0
DIS_122,2026-06-14,SUP_030,Geopolitical / customs hold,2,56357.0
DIS_123,2026-07-22,SUP_030,Geopolitical / customs hold,8,208940.0
DIS_124,2026-08-05,SUP_030,Geopolitical / customs hold,11,214385.0
DIS_125,2026-09-02,SUP_030,Raw material shortage,17,340574.0
DIS_126,2026-09-21,SUP_030,Geopolitical / customs hold,3,65672.0
DIS_127,2026-06-14,SUP_031,Port congestion,16,337215.0
DIS_128,2026-06-15,SUP_031,Quality rejection,2,55739.0
DIS_129,2026-06-22,SUP_033,Severe weather,13,797269.0
DIS_130,2026-07-06,SUP_033,Port congestion,10,399998.0
DIS_131,2026-08-11,SUP_033,Severe weather,13,441890.0
DIS_132,2026-08-12,SUP_033,Severe weather,6,232604.0
DIS_133,2026-08-16,SUP_033,Geopolitical / customs hold,4,121405.0
DIS_134,2026-06-24,SUP_034,Port congestion,2,17044.0
DIS_135,2026-09-21,SUP_034,Severe weather,2,11225.0
DIS_136,2026-07-11,SUP_035,Geopolitical / customs hold,4,29353.0
DIS_137,2026-08-19,SUP_036,Supplier capacity shortfall,13,47703.0
DIS_138,2026-06-07,SUP_037,Supplier capacity shortfall,12,212051.0
DIS_139,2026-06-09,SUP_037,Port congestion,2,30691.0
DIS_140,2026-07-01,SUP_037,Severe weather,5,95970.0
DIS_141,2026-07-03,SUP_037,Port congestion,16,259999.0
DIS_142,2026-07-11,SUP_037,Severe weather,13,246797.0
DIS_143,2026-08-28,SUP_037,Geopolitical / customs hold,6,53422.0
DIS_144,2026-08-29,SUP_037,Supplier capacity shortfall,6,63544.0
DIS_145,2026-09-04,SUP_037,Supplier capacity shortfall,8,100199.0
DIS_146,2026-09-05,SUP_037,Geopolitical / customs hold,14,204242.0
DIS_147,2026-09-06,SUP_037,Geopolitical / customs hold,17,317412.0
DIS_148,2026-09-08,SUP_037,Severe weather,7,87307.0
DIS_149,2026-09-10,SUP_037,Severe weather,12,95015.0
DIS_150,2026-09-11,SUP_037,Supplier capacity shortfall,12,168335.0
DIS_151,2026-09-13,SUP_037,Geopolitical / customs hold,14,177393.0
DIS_152,2026-09-15,SUP_037,Severe weather,10,182168.0
DIS_153,2026-09-16,SUP_037,Raw material shortage,5,47283.0
DIS_154,2026-09-17,SUP_037,Severe weather,8,151958.0
DIS_155,2026-09-20,SUP_037,Geopolitical / customs hold,14,145423.0
DIS_156,2026-09-21,SUP_037,Severe weather,8,97176.0
DIS_157,2026-06-30,SUP_038,Severe weather,15,121078.0
DIS_158,2026-07-05,SUP_038,Severe weather,8,38789.0
DIS_159,2026-09-21,SUP_038,Supplier capacity shortfall,4,23400.0
DIS_160,2026-06-12,SUP_039,Quality rejection,10,79816.0
DIS_161,2026-07-10,SUP_039,Geopolitical / customs hold,17,197587.0
DIS_162,2026-07-25,SUP_039,Port congestion,12,124294.0
DIS_163,2026-06-28,SUP_040,Severe weather,12,1429843.0
DIS_164,2026-07-01,SUP_040,Port congestion,10,723145.0
DIS_165,2026-07-09,SUP_040,Geopolitical / customs hold,10,935909.0
DIS_166,2026-07-13,SUP_040,Severe weather,7,815306.0
DIS_167,2026-07-19,SUP_040,Supplier capacity shortfall,5,448823.0
DIS_168,2026-07-31,SUP_040,Supplier capacity shortfall,13,868692.0
DIS_169,2026-08-04,SUP_040,Severe weather,13,1747300.0
DIS_170,2026-08-07,SUP_040,Severe weather,4,333078.0
DIS_171,2026-08-10,SUP_040,Severe weather,5,549642.0
DIS_172,2026-08-17,SUP_040,Labour strike,4,358554.0
DIS_173,2026-08-18,SUP_040,Severe weather,8,1079128.0
DIS_174,2026-08-19,SUP_040,Severe weather,5,440385.0
DIS_175,2026-08-20,SUP_040,Quality rejection,16,1466350.0
DIS_176,2026-08-24,SUP_040,Labour strike,10,949675.0
DIS_177,2026-08-25,SUP_040,Port congestion,5,764039.0
DIS_178,2026-09-02,SUP_040,Severe weather,3,401973.0
DIS_179,2026-09-04,SUP_040,Severe weather,17,1842377.0
DIS_180,2026-09-10,SUP_040,Severe weather,12,1235755.0
DIS_181,2026-09-13,SUP_040,Supplier capacity shortfall,9,549224.0
DIS_182,2026-06-19,SUP_041,Geopolitical / customs hold,11,21194.0
DIS_183,2026-06-20,SUP_041,Port congestion,15,27282.0
DIS_184,2026-06-24,SUP_041,Geopolitical / customs hold,11,17386.0
DIS_185,2026-06-28,SUP_041,Port congestion,14,17521.0
DIS_186,2026-07-02,SUP_041,Geopolitical / customs hold,15,19247.0
DIS_187,2026-07-05,SUP_041,Geopolitical / customs hold,15,29523.0
DIS_188,2026-07-06,SUP_041,Geopolitical / customs hold,5,11149.0
DIS_189,2026-07-10,SUP_041,Port congestion,3,3840.0
DIS_190,2026-07-13,SUP_041,Severe weather,13,23772.0
DIS_191,2026-07-19,SUP_041,Port congestion,10,10019.0
DIS_192,2026-07-27,SUP_041,Supplier capacity shortfall,14,27155.0
DIS_193,2026-07-30,SUP_041,Severe weather,15,24641.0
DIS_194,2026-08-05,SUP_041,Geopolitical / customs hold,3,4389.0
DIS_195,2026-08-08,SUP_041,Severe weather,10,11056.0
DIS_196,2026-08-11,SUP_041,Geopolitical / customs hold,12,24900.0
DIS_197,2026-08-12,SUP_041,Port congestion,8,20423.0
DIS_198,2026-08-16,SUP_041,Port congestion,3,3892.0
DIS_199,2026-08-27,SUP_041,Geopolitical / customs hold,3,6752.0
DIS_200,2026-08-29,SUP_041,Geopolitical / customs hold,10,21166.0
DIS_201,2026-09-01,SUP_041,Severe weather,17,19738.0
DIS_202,2026-09-03,SUP_041,Severe weather,17,37644.0
DIS_203,2026-09-05,SUP_041,Severe weather,2,3168.0
DIS_204,2026-09-11,SUP_041,Geopolitical / customs hold,3,3079.0
DIS_205,2026-09-12,SUP_041,Port congestion,8,8344.0
DIS_206,2026-06-22,SUP_042,Supplier capacity shortfall,13,388372.0
DIS_207,2026-06-28,SUP_042,Geopolitical / customs hold,15,276288.0
DIS_208,2026-07-13,SUP_042,Raw material shortage,8,152288.0
DIS_209,2026-08-26,SUP_042,Labour strike,5,209429.0
DIS_210,2026-09-11,SUP_042,Supplier capacity shortfall,2,56581.0
DIS_211,2026-09-14,SUP_042,Geopolitical / customs hold,14,423456.0
DIS_212,2026-06-11,SUP_043,Severe weather,11,3106604.0
DIS_213,2026-08-09,SUP_043,Geopolitical / customs hold,7,1599904.0
DIS_214,2026-07-16,SUP_044,Labour strike,6,42856.0
DIS_215,2026-07-20,SUP_044,Port congestion,13,49221.0
DIS_216,2026-07-21,SUP_044,Severe weather,16,80858.0
DIS_217,2026-08-02,SUP_044,Quality rejection,6,41733.0
DIS_218,2026-08-05,SUP_044,Raw material shortage,5,18609.0
DIS_219,2026-08-29,SUP_044,Severe weather,10,52562.0
DIS_220,2026-08-31,SUP_044,Raw material shortage,17,126058.0
DIS_221,2026-06-18,SUP_045,Raw material shortage,16,176572.0
DIS_222,2026-06-23,SUP_045,Port congestion,16,97135.0
DIS_223,2026-07-07,SUP_045,Supplier capacity shortfall,12,104673.0
DIS_224,2026-07-11,SUP_045,Severe weather,2,17662.0
DIS_225,2026-07-13,SUP_045,Supplier capacity shortfall,14,148340.0
DIS_226,2026-08-08,SUP_045,Labour strike,13,56920.0
DIS_227,2026-08-28,SUP_045,Port congestion,6,31748.0
DIS_228,2026-09-11,SUP_045,Port congestion,14,140690.0
DIS_229,2026-06-27,SUP_046,Port congestion,11,1462603.0
DIS_230,2026-06-28,SUP_046,Labour strike,11,2405562.0
DIS_231,2026-06-29,SUP_046,Severe weather,13,3240299.0
DIS_232,2026-06-30,SUP_046,Severe weather,4,594604.0
DIS_233,2026-07-02,SUP_046,Supplier capacity shortfall,6,1507558.0
DIS_234,2026-07-22,SUP_046,Port congestion,9,1487092.0
DIS_235,2026-07-20,SUP_047,Geopolitical / customs hold,7,236995.0
DIS_236,2026-07-27,SUP_047,Geopolitical / customs hold,6,183557.0
DIS_237,2026-08-08,SUP_047,Severe weather,15,376361.0
DIS_238,2026-08-20,SUP_048,Quality rejection,14,591124.0
DIS_239,2026-09-01,SUP_048,Quality rejection,5,262773.0
DIS_240,2026-09-02,SUP_048,Quality rejection,13,504228.0
